star,magnitude,temp,type,distance,radius,Ra,Dec,constellation
Sun,4.8,5840,G,0.0,1.0,N/A,N/A,Solar System
SiriusA,1.4,9620,A,8.6,1.71,101.28715533333335,-16.71611586111111,Canis Major
Canopus,-3.1,7400,F,310,77,95.98795782918306,-52.69566138386201,Carina
Arcturus,-0.4,4590,K,36.7,25,213.915300294925,19.1824091615312,Boötes
AlphaCentauriA,4.3,5840,G,4.37,1.2,219.90205833170774,-60.83399268831004,Centaurus
Vega,0.5,9900,A,25,2.4,279.234734787025,38.783688956244,Lyra
Capella,-0.6,5150,G,42.9,12,79.17232794433404,45.99799146983673,Auriga
Rigel,-7.2,12140,B,860,78,78.63446706693006,-8.201638364722209,Orion
ProcyonA,2.6,6600,F,11.4,2.04,114.82549790798149,5.224987557059477,Canis Minor
Betelgeuse,-5.7,3200,M,548,887,88.79293899077537,7.407063995272694,Orion
Achemar,-2.4,20500,B,139,9,N/A,N/A,Eridanus
Hadar,-5.3,25500,B,390,8,210.95585562281522,-60.373035161541594,Centaurus
Altair,2.2,8060,A,16.7,1.63,297.69582729638694,8.868321196436963,Aquila
Aldebaran,-0.8,4130,K,65,44,68.9801627900154,16.5093023507718,Taurus
Spica,-3.4,25500,B,250,7,201.2982473615632,-11.161319485111932,Virgo
Antares,-5.2,3340,M,550,883,247.3519154198264,-26.432002611950832,Scorpius
Fomalhaut,2,9060,A,25,1.8,344.4126927211701,-29.622237033389442,Piscis Austrinus
Pollux,1,4900,K,33.7,8.8,116.32895777437875,28.02619889009357,Gemini
Deneb,-7.2,9340,A,2615,203,310.35797975307673,45.280338806527574,Cygnus
BetaCrucis,-4.7,28000,B,353,11,191.9302865619529,-59.68877199622606,Crux
Regulus,-0.8,13260,B,79,3.1,152.09296243828146,11.967208776100023,Leo
Acrux,-4,28000,B,321,5,186.64956340120452,-63.099092857925115,Crux
Adhara,-5.2,23000,B,430,9,104.65645315148348,-28.972086157360806,Canis Major
Shaula,-3.4,25500,B,700,7,263.40216718438023,-37.10382355111976,Scorpius
Bellatrix,-4.3,23000,B,243,5.8,81.28276355652378,6.3497032644440665,Orion
Castor,1.2,9620,A,51,2.4,113.64947163976585,31.88828221646326,Gemini
Gacrux,-0.5,3750,M,88,5,187.79149837560794,-57.11321345705891,Crux
BetaCentauri,-5.1,25500,B,390,9,210.95585562281522,-60.373035161541594,Centaurus
AlphaCentauriB,5.8,4730,K,4.37,0.86,219.89609628987276,-60.83752756558407,Centaurus
AlNa'ir,-1.1,15550,B,390,8,330.9598,-46.9607,Grus
Miaplacidus,-0.6,9300,A,111,6,138.29990608310192,-69.71720759721548,Carina
Elnath,-1.6,12400,B,131,4.8,81.57297133176498,28.607451724998228,Taurus
Alnilam,-6.2,26950,B,2000,24,84.05338894077023,-1.2019191358333312,Orion
Mirfak,-4.6,7700,F,590,6.7,51.08070871833333,49.86117929305556,Perseus
Alnitak,-5.9,33600,O,736,20,85.18969442793068,-1.9425735859722049,Orion
Dubhe,0.2,4900,K,123,20,165.9319646738126,61.751034687818226,Ursa Major
Alioth,0.4,9900,A,81,4,193.5072899675,55.95982295694445,Ursa Major
Peacock,-2.3,20500,B,180,15,306.4119043651986,-56.73508972631689,Pavo
KausAustralis,-0.3,11000,B,77,7,276.0429933505963,-34.38461648586744,Sagittarius
ThetaScorpii,-5.6,7400,F,490,4.5,264.3297077207907,-42.99782799333082,Scorpius
Atria,-0.1,4590,K,390,4,252.1662295073803,-69.02771184691984,Triangulum Australe
Alkaid,-1.7,20500,B,104,8,206.88515734206297,49.31326672942533,Ursa Major
AlphaCrucisB,-3.3,20500,B,321,5,186.6469,-63.0991,Crux
Avior,-2.1,4900,K,63,4,125.62848024272952,-59.509484191917416,Carina
DeltaCanisMajoris,-8,6100,F,800,203,107.09785021416667,-26.39319957888889,Canis Major
Alhena,0,9900,A,109,2.8,99.42796042942895,16.399280426663772,Gemini
Menkalinan,0.6,9340,A,82,3.5,89.88217886833333,44.94743257194444,Auriga
Polaris,-4.6,6100,F,446,44,37.954560670189856,89.26410896994187,Ursa Minor
Mirzam,-4.8,25500,B,500,7,95.67493896958332,-17.955918708888888,Canis Major
DeltaVulpeculae,0.6,9900,A,90,2,308.3052,27.8142,Vulpecula
ProximaCentauri,15.5,2670,M,4.24,0.14,217.42894222160578,-62.67949018907555,Centaurus
Barnard'sStar,13.2,2800,M,5.96,0.2,269.4520769586187,4.693364966576667,Ophiuchus
Barnard,13.2,2800,M,5.96,0.2,269.4520769586187,4.693364966576667,Ophiuchus
BarnardsStar,13.2,2800,M,5.96,0.2,269.4520769586187,4.693364966576667,Ophiuchus
BarnardStar,13.2,2800,M,5.96,0.2,269.4520769586187,4.693364966576667,Ophiuchus
Barnards,13.2,2800,M,5.96,0.2,269.4520769586187,4.693364966576667,Ophiuchus
Wolf359,16.7,2670,M,7.78,0.16,164.1205036259475,7.014723134801666,Leo
HD93735,10.5,3200,M,8.3,0.24,162.11004178219,-53.82731050609,Carina
L726-8,15.5,2670,M,8.7,0.15,24.756053899999998,-17.950568099999998,Cetus
UVCeti,16,2670,M,8.7,0.15,24.756823827312502,-17.950278122424443,Cetus
SiriusB,11.2,14800,DA,8.6,0.008,101.28876746876543,-16.716867983351943,Canis Major
Ross154,13.1,2800,M,9.7,0.2,282.45568240083537,-23.83623538204166,Sagittarius
Ross248,14.8,2670,M,10.3,0.19,355.47931791771504,44.17744969753222,Andromeda
EpsilonEridani,6.1,4590,K,10.5,0.74,53.23268537982792,-9.458260970518056,Eridanus
Ross128,13.5,2800,M,11,0.18,176.93498861725834,0.8045556493308333,Virgo
L789-6,14.5,2670,M,11,0.16,339.6399,-15.2999325,Aquarius
GXAndromedae,10.4,3340,M,11.6,0.25,4.5953540832,44.02295498655222,Andromeda
GQAndromedae,13.4,2670,M,N/A,0.16,4.607604753587916,44.02724789773806,Andromeda
EpsilonIndi,7,4130,K,10.5,0.77,330.8402234423433,-56.785978554364995,Indus
61CygniA,7.6,4130,K,11.4,0.66,316.7247482895925,38.74941731943694,Cygnus
61CygniB,8.4,3870,K,11.4,0.6,316.7302660185276,38.74204403329556,Cygnus
Struve2398A,11.2,3070,M,11.6,0.29,351.3460,59.5886,Draco
Struve2398B,11.9,2940,M,11.6,0.25,351.3460,59.5886,Draco
